Cell Name,Lineaging Name
hyp7,V5L.pppa
hyp7,V5L.ppppa
hyp7,V5R.a
hyp7,V5R.ppa
hyp7,V5R.pppa
hyp7,V5R.ppppa
hyp7,V6L.a
hyp7,V6L.paa
hyp7,V6L.papa
hyp7,V6L.pappa
hyp7,V6L.ppa
hyp7,V6L.pppa
hyp7,V6L.ppppa
hyp7,V6R.a
hyp7,V6R.paa
hyp7,V6R.papa
hyp7,V6R.pappa
hyp7,V6R.ppa
hyp7,V6R.pppa
hyp7,V6R.ppppa
hyp7,TL.aa
hyp7,TL.apaa
hyp7,TL.apap
hyp7,TR.aa
hyp7,TR.apaa
hyp7,TR.apap
hyp7,V5L.a
hyp7,V5L.ppa
hyp7,V5L.pppaa
hyp7,V5L.pppapa
hyp7,V5L.ppppa
hyp7,V5R.a
hyp7,V5R.ppa
hyp7,V5R.pppa
hyp7,V5R.pppapa
hyp7,V5R.ppppa
hyp7,V6L.a
hyp7,V6L.paa
hyp7,V6L.papaa
hyp7,V6L.pappa
hyp7,V6L.ppa
hyp7,V6L.pppaa
hyp7,V6L.ppppap
hyp7,V6R.a
hyp7,V6R.paa
hyp7,V6R.papaa
hyp7,V6R.pappa
hyp7,V6R.ppa
hyp7,V6R.pppaa
hyp7,V6R.ppppap
hyp7,TL.aa
hyp7,TL.apaa
hyp7,TL.apapa
hyp7,TL.apappp
hyp7,TL.appaap
hyp7,TL.appapp
hyp7,TR.aa
hyp7,TR.apaa
hyp7,TR.apapa
hyp7,TR.apappp
hyp7,TR.appaap
hyp7,TR.appapp
hyp7,P1.p
hyp7,P2.p
hyp7,P3.pa
hyp7,P3.pp
hyp7,P4.pa
hyp7,P4.pp
hyp7,P8.pa
hyp7,P8.pp
hyp7,P9.p
hyp7,P10.p
hyp7,P11.p
hyp7,P3.p
hyp7,P4.p
hyp7,P5.p
hyp7,P6.p
hyp7,P7.p
hyp7,P8.p
hyp7,P10.papa
hyp7,P10.paap
hyp7,P10.paaa
hyp8/9,AB plpppapap
hyp8/9,AB prpppapap
hyp10,AB plppppppp
hyp10,AB prppppppp
hyp11,C pappv
hyp12,P12.pa
hyp_hook,P10.papp
hyp_hook,P11.ppaa
hyp_hook,P11.ppap
hyp_hook,P11.ppp
int,E alaad
int,E alaav
int,E alap
int,E alpa
int,E alpp
int,E araad
int,E araav
int,E arap
int,E arpa
int,E arpp
int,E plaa
int,E plap
int,E plpa
int,E plppa
int,E plppp
int,E praa
int,E prap
int,E prpa
int,E prppa
int,E prppp
int,In.a
int,In.p
linker_killer,U.lp or U.rp
pm1DL,AB araapaaap
pm1DR,AB araappaap
pm1L,AB araaaaaap
pm1R,AB araaaaapp
pm1VL,AB alpaaaapa
pm1VR,AB arapaaapa
pm2DL,AB araapaapa
pm2DR,AB araappapa
pm2L,AB alpaaapaa
pm2R,AB arapaapaa
pm2VL,AB alpaaaaap
pm2VR,AB arapaaaap
pm3DL,MS aaapaaa
pm3DR,MS paaaapa
pm3L,AB alpaapapp
pm3R,AB arapaappa
pm3VL,AB alpappppp
pm3VR,AB arapapppp
pm4DL,MS aaaaapp
pm4DR,MS paaaapp
pm4L,MS aaapaap
pm4R,AB araaapapp
pm4VL,MS aapaaaa
pm4VR,MS papaaaa
pm5DL,MS aaaapap
pm5DR,MS paaappa
pm5L,AB araapapap
pm5R,AB araapppap
pm5VL,MS aapaaap
pm5VR,MS papaaap
pm6D,MS paaappp
pm6VL,MS aapappa
ppm6VR,MS papappa
pm7D,MS aaaappp
pm7VL,MS aapaapp
pm7VR,MS papaapp
pm8,MS aaapapp
mc1DL,AB alpaapapa
mc1DR,AB araaapapa
mc1V,AB alpappppa
mc2DL,AB araapaapp
mc2DR,AB araappapp
mc2V,AB arapapppa
mc3DL,MS aaapapa
mc3DR,MS paapapa
mc3V,AB alpappapp
mu_anal,AB plpppppap
mu_bod,AB prpppppaa
mu_bod,C apaaaa
mu_bod,C apaaap
mu_bod,C apaapa
mu_bod,C apaapp
mu_bod,C apapaa
mu_bod,C apapap
mu_bod,C apappa
mu_bod,C apappp
mu_bod,C appaaa
mu_bod,C appaap
mu_bod,C appapa
mu_bod,C appapp
mu_bod,C apppaa
mu_bod,C apppap
mu_bod,C appppd
mu_bod,C appppv
mu_bod,C ppaaaa
mu_bod,C ppaaap
mu_bod,C ppaapa
mu_bod,C ppaapp
mu_bod,C ppapaa
mu_bod,C ppapap
mu_bod,C ppappa
mu_bod,C ppappp
mu_bod,C pppaaa
mu_bod,C pppaap
mu_bod,C pppapa
mu_bod,C pppapp
mu_bod,C ppppaa
mu_bod,C ppppap
mu_bod,C pppppd
mu_bod,C pppppv
mu_bod,D aaaa
mu_bod,D aaap
mu_bod,D aapa
mu_bod,D aapp
mu_bod,D apaa
mu_bod,D apap
mu_bod,D appaa
mu_bod,D appap
mu_bod,D apppa
mu_bod,D apppp
mu_bod,D paaa
mu_bod,D paap
mu_bod,D papa
mu_bod,D ppap
mu_bod,D ppaa
mu_bod,D ppap
mu_bod,D pppaa
mu_bod,D pppap
mu_bod,D ppppa
mu_bod,D ppppp
mu_bod,MS aapppaa
mu_bod,MS aapppap
mu_bod,MS aappppa
mu_bod,MS aappppp
mu_bod,MS apaaap
mu_bod,MS apapap
mu_bod,MS apappa
mu_bod,MS apappp
mu_bod,MS appapp
mu_bod,MS apppaa
mu_bod,MS apppap
mu_bod,MS appppa
mu_bod,MS appppp
mu_bod,MS pappaa
mu_bod,MS pappap
mu_bod,MS papppaa
mu_bod,MS papppap
mu_bod,MS pappppa
mu_bod,MS pappppp
mu_bod,MS ppaaap
mu_bod,MS ppapap
mu_bod,MS ppappa
mu_bod,MS ppappp
mu_bod,MS pppapp
mu_bod,MS ppppaa
mu_bod,MS ppppap
mu_bod,MS pppppa
mu_bod,MS pppppp
mu_bod,M.dlaa
mu_bod,M.dlap
mu_bod,M.dlpp
mu_bod,M.draa
mu_bod,M.drap
mu_bod,M.drpp
mu_bod,M.vlaa
mu_bod,M.vlap
mu_bod,M.vlpap
mu_bod,M.vlpp
mu_bod,M.vraa
mu_bod,M.vrap
mu_bod,M.vrpap
mu_bod,M.vrpp
mu_int_L,AB plpppppaa
mu_int_R,MS ppaapp
mu_male_diag,M.dlpaaaap
mu_male_diag,M.dlpaaapa
mu_male_diag,M.dlpaaapp
mu_male_diag,M.dlpaapaa
mu_male_diag,M.dlpaapap
mu_male_diag,M.dlpapaaa
mu_male_diag,M.dlpapaap
mu_male_diag,M.drpaaaap
mu_male_diag,M.drpaaapa
mu_male_diag,M.drpaaapp
mu_male_diag,M.drpaapaa
mu_male_diag,M.drpaappa
mu_male_diag,M.drpaapap
mu_male_diag,M.drpapaaa
mu_male_diag,M.drpapaap
mu_male_gub,M.dlpappap
mu_male_gub,M.drpappap
mu_male_gub,M.dlpapapa
mu_male_gub,M.drpapapa
mu_male_long,M.vlpaaaaa
mu_male_long,M.vlpaaaap
mu_male_long,M.vlpaaapa
mu_male_long,M.vlpaaapp
mu_male_long,M.vlpaapp
mu_male_long,M.vrpaaaaa
mu_male_long,M.vrpaaaap
mu_male_long,M.vrpaaapa
mu_male_long,M.vrpaaapp
mu_male_long,M.vrpaapp
mu_male_obliq,M.dlpapapp
mu_male_obliq,M.dlpappaa
mu_male_obliq,M.drpapapp
mu_male_obliq,M.drpappap
mu_male_spic,M.dlpaaaaa
mu_male_spic,M.dlpaappa
mu_male_spic,M.dlpaappp
mu_male_spic,M.prpaaaaa
mu_male_spic,M.drpaappp
mu_male_spic,M.drpappaa
mu_male_spic,M.vlpaapa
mu_male_spic,M.vrpaapa
mu_sph,AB prpppppap
um2,M.vlpaaaaa
um1,M.vlpaaaap
um1,M.vlpaappa
um2,M.vlpaappp
um2,M.vrpaaaaa
um1,M.vrpaaaap
um1,M.vrpaappa
um2,M.vrpaappp
vm2,M.vlpaaapa
vm1,M.vlpaaapp
vm1,M.vlpaapaa
vm2,M.vlpaapap
vm2,M.vrpaaapa
vm1,M.vrpaaapp
vm1,M.vrpaapaa
vm2,M.vrpaapap
proct,B.alaalv/B.araalv
proct,B.alaarv/B.araarv
proct,B.alapaad
proct,B.alapapa
proct,B.alapapp
proct,B.alappv
proct,B.alppalv/B.arppalv
proct,B.alppald/B.arppald
proct,B.alpparv/B.arpparv
proct,B.alppl/B.arppl
proct,B.alppr/B.arppr
proct,B.arapaad
proct,B.arapapa
proct,B.arapapp
proct,B.arappv
proct,B.paa
proct,B.pap
proct,B.pppa
proct,F.lvv
proct,F.rvv
R1_hyp,"V5.pppppp, R1.p"
R2_hyp,"V6.papapp, R2.p"
R3_hyp,"V6.papppp, R3.p"
R4_hyp,"V6.pppapp, R4.p"
R5_hyp,"V6.ppppap, R5.p"
R6_hyp,"V6.pppppp, R6.p"
R7_hyp,"T.apappp, R7.p"
R8_hyp,"T.appaap, R8.p"
R9_hyp,"T.appapp, R9.p"
rect_D,AB plpappppp
rect_VL,AB plppppaap
rect_VR,AB prppppaap
se,H1L.aa
se,H1L.appp
se,H1R.aa
se,H1R.appp
se,H2L.pppp
se,H2R.pppp
se,V1L.pappp
se,V1L.ppppp
se,V1R.pappp
se,V1R.ppppp
se,V2L.pappp
se,V2L.ppppp
se,V2R.pappp
se,V2R.ppppp
se,V3L.pappp
se,V3L.ppppp
se,V3R.pappp
se,V3R.ppppp
se,V4L.pappp
se,V4L.ppppp
se,V4R.pappp
se,V4R.ppppp
se_herm,V5L.ppppp
se_herm,V5R.ppppp
se_herm,V6L.pappp
se_herm,V6L.ppppp
se_herm,V6R.pappp
se_herm,V6R.ppppp
se_herm,TL.appa
se_herm,TR.appa
se_male,V5L.pppapp
se_male,V5R.pppapp
set,V5L.pppppp
set,V5R.pppppp
set,V6L.papapp
set,V6L.papppp
set,V6L.pppapp
set,V6L.pppppp
set,V6R.papapp
set,V6R.papppp
set,V6R.pppapp
set,V6R.pppppp
spike,AB plppppppa
spike,Ab prppppppa
virL,AB prpappppp
virR,AB prpappppa
vpi1,MS paapapp
vpi2DL,MS aapappp
vpi2DR,MS papappp
vpi2V,MS aappaa
vpi3D,MS aaappp
vpi3V,MS aappap
vulva,P5.paaa
vulva,P5.paap
vulva,P5.papa
vulva,P5.papp
vulva,P5.ppal
vulva,P5.ppar
vulva,P5.ppp
vulva,P6.paal
vulva,P6.paar
vulva,P6.papl
vulva,P6.papr
vulva,P6.ppal
vulva,P6.ppar
vulva,P6.pppl
vulva,P6.pppr
vulva,P7.paa
vulva,P7.papl
vulva,P7.papr
vulva,P7.ppaa
vulva,P7.ppap
vulva,P7.pppa
vulva,P7.pppp
